Unnamed: 0,ticker,risk,return,value
94,NVAX,0.959499051826603,1.73433579482092,0.0012686330478908984
95,CTXR,0.743001961036648,0.411167477673069,0.0006343165239454492
96,EQRR,0.454318266403456,0.280073383003212,0.35
97,KRYS,0.418368665722336,0.493889354032705,0.0017443704408499855
98,LHCG,0.500082302699922,0.151277674416905,0.0042816365366317825
99,LVHD,0.251406274833054,0.135459362983508,0.0031187229093984584
100,TTEC,0.62725770793801,0.271317779913059,0.0011629136272333237
101,ECPG,0.388639119838135,0.56516864070115,0.26
102,TAYD,0.30558790915053,0.506012956031205,0.38
103,PRMW,0.409830254007545,0.144005794547325,5.285971032878744e-05
104,STX,0.546424009316449,0.133255262046608,0.49
105,UMPQ,0.400926919559374,0.0060807412616757,0.00047573739295908693
106,INTU,0.432845147387877,0.618929198583904,0.004757373929590869
